,Company_Name,Industry,Market Cap ($ million)
0,Walmart,Consumer Staples,799640
1,Amazon,Information Technology,2500000
2,State Grid Corporation of China,Utilities,137.7
3,Saudi Aramco,Energy,1786666
4,China Petrochemical Corporation,Energy,95600
5,China National Petroleum Corporation,Energy,202240
6,Vitol,Materials,94428
7,Apple,Information Technology,3430000
8,UnitedHealth Group,Health Care,504480
9,Berkshire Hathaway,Financials,1000000
10,CVS Health,Health Care,70410
11,Volkswagen Group,Consumer Discretionary,53370
12,ExxonMobil,Energy,470670
13,Shell,Energy,197260
14,China State Construction Engineering,Industrials,32150
15,Toyota,Consumer Discretionary,288840
16,McKesson,Health Care,76140
17,Alphabet,Information Technology,2470000
18,Cencora,Health Care,11250
19,Microsoft,Information Technology,3050000
20,Trafigura,Materials,57667
21,Costco,Consumer Staples,446490
22,JPMorgan Chase,Financials,751270
23,Industrial and Commercial Bank of China,Financials,334863
24,TotalEnergies,Energy,140310
25,Glencore,Materials,51420
26,BP,Energy,82080
27,Cardinal Health,Health Care,30330
28,Stellantis,Consumer Discretionary,37000
29,Chevron,Energy,268380
30,China Construction Bank,Financials,210012
31,Samsung Electronics,Consumer Discretionary,245700
32,Foxconn,Consumer Discretionary,69339
33,Cigna,Health Care,81350
34,Agricultural Bank of China,Financials,242487
35,Schwarz Gruppe,Consumer Staples,200
36,China Railway Engineering Corporation,Industrials,14960
37,Cargill,Industrials,47212
38,Ford Motor Company,Consumer Discretionary,39310
39,Bank of China,Financials,224525
40,Bank of America,Financials,351700
41,General Motors,Consumer Discretionary,47690
42,Elevance Health,Health Care,92610
43,BMW Group,Consumer Discretionary,50200
44,Tata Group,Industrials,34257
45,Mercedes-Benz Group,Consumer Discretionary,59530
46,China Railway Construction Corporation,Industrials,14970
47,Baowu,Materials,16560
48,Citigroup,Financials,150560
49,Enel,Utilities,72300