,Company_Name,Industry,Revenue ($ million),Headquarters
0,Walmart,Consumer Staples,263009,United States
1,BP p.l.c.,Energy,232571,United Kingdom
2,Exxon Mobil,Energy,222883,United States
3,Shell,Energy,201728,Netherlands
4,General Motors,Consumer Discretionary,195324,United States
5,Ford Motor,Consumer Discretionary,164505,United States
6,DaimlerChrysler AG,Consumer Discretionary,156602.2,Germany
7,Toyota Motor,Consumer Discretionary,153111,Japan
8,General Electric,Industrials,134187,United States
9,TotalEnergies,Energy,118441.4,France
10,Allianz,Financials,114949.9,Germany
11,ChevronTexaco Corporation,Energy,112937,United States
12,AXA,Financials,111912.2,France
13,ConocoPhillips,Energy,99468,United States
14,Volkswagen,Consumer Discretionary,98636.6,Germany
15,Nippon Telegraph and Telephone,Communication Services,98229.1,Japan
16,ING Group,Financials,95893.3,Netherlands
17,Citigroup,Financials,94713,United States
18,IBM,Information Technology,89131,United States
19,AIG,Financials,81303,United States
20,Siemens,Industrials,80501,Germany
21,Carrefour,Consumer Staples,79773.8,France
22,Hitachi,Industrials,76423.3,Japan
23,HP,Information Technology,73061,United States
24,"Honda Motor Co., Ltd.",Consumer Discretionary,72263.7,Japan
25,McKesson,Health Care,69506.1,United States
26,United States Postal Service,Industrials,68529,United States
27,Verizon Communications,Communication Services,67752,United States
28,Assicurazioni Generali,Financials,66754.9,Italy
29,Sony,Consumer Discretionary,66365.7,Japan
30,"Matsushita Electric Industrial Co., Ltd.",Consumer Discretionary,66218.4,Japan
31,"Nissan Motor Co., Ltd.",Consumer Discretionary,65771.1,Japan
32,Nestlé,Consumer Staples,65414.6,Switzerland
33,Home Depot,Consumer Staples,64816,United States
34,Berkshire Hathaway,Financials,63859,United States
35,Nippon Life Insurance,Financials,63840.7,Japan
36,Koninklijke Ahold N.V.,Consumer Staples,63455.8,Netherlands
37,Deutsche Telekom,Communication Services,63195.5,Germany
38,Altria Group,Consumer Staples,60704,United States
39,Metro,Consumer Staples,60656.9,Germany
40,Aviva,Financials,59719.4,United Kingdom
41,ENI SpA,Energy,59304.4,Italy
42,Credit Suisse Group,Financials,58957.1,Switzerland
43,State Grid Corporation of China,Utilities,58348,China
44,HSBC Holdings,Financials,57608,United Kingdom
45,BNP Paribas,Financials,57271.8,France
46,Vodafone Group,Communication Services,56844.5,United Kingdom
47,Cardinal Health,Health Care,56829.5,United States
48,Fortis SA/NV,Financials,56695.2,Belgium
49,China National Petroleum,Energy,56384.5,China